,Name of the Procuct,Price,Rating of the Product
0,"APPLE iPhone 11 (White, 128 GB)","₹45,999","4.61,72,670 Ratings & 10,236 Reviews"
1,"APPLE iPhone 11 (Black, 128 GB)","₹45,999","4.61,72,670 Ratings & 10,236 Reviews"
2,"APPLE iPhone 12 Mini (Black, 64 GB)","₹37,999","4.51,20,088 Ratings & 9,604 Reviews"
3,"APPLE iPhone 13 (Blue, 128 GB)","₹62,999","4.71,70,593 Ratings & 9,291 Reviews"
4,"APPLE iPhone 13 (Midnight, 128 GB)","₹62,999","4.71,70,593 Ratings & 9,291 Reviews"
5,"APPLE iPhone 13 (Green, 128 GB)","₹62,999","4.71,70,593 Ratings & 9,291 Reviews"
6,"APPLE iPhone 12 Mini (Black, 128 GB)","₹43,999","4.51,20,088 Ratings & 9,604 Reviews"
7,"APPLE iPhone 11 (Red, 128 GB)","₹43,999","4.61,72,670 Ratings & 10,236 Reviews"
8,"APPLE iPhone 11 (Black, 64 GB)","₹40,999","4.61,72,670 Ratings & 10,236 Reviews"
9,"APPLE iPhone 11 (White, 64 GB)","₹40,999","4.61,72,670 Ratings & 10,236 Reviews"
10,"APPLE iPhone 12 Mini (White, 64 GB)","₹37,999","4.51,20,088 Ratings & 9,604 Reviews"
11,"APPLE iPhone 13 (Green, 256 GB)","₹69,999","4.71,70,593 Ratings & 9,291 Reviews"
12,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹62,999","4.71,70,593 Ratings & 9,291 Reviews"
13,"APPLE iPhone 12 Mini (White, 128 GB)","₹43,999","4.51,20,088 Ratings & 9,604 Reviews"
14,"APPLE iPhone 12 Mini (Blue, 64 GB)","₹37,999","4.51,20,088 Ratings & 9,604 Reviews"
15,"APPLE iPhone 13 ((PRODUCT)RED, 256 GB)","₹69,999","4.71,70,593 Ratings & 9,291 Reviews"
16,"APPLE iPhone 12 (Black, 256 GB)","₹69,999","4.61,85,328 Ratings & 12,648 Reviews"
17,"APPLE iPhone 11 (Red, 64 GB)","₹40,999","4.61,72,670 Ratings & 10,236 Reviews"
18,"APPLE iPhone 12 (Blue, 256 GB)","₹69,999","4.61,85,328 Ratings & 12,648 Reviews"
19,"APPLE iPhone 11 (Green, 64 GB)","₹40,999","4.61,72,670 Ratings & 10,236 Reviews"
20,"APPLE iPhone 14 (Purple, 128 GB)","₹78,740",4.6756 Ratings & 55 Reviews
21,"APPLE iPhone 13 (Starlight, 128 GB)","₹62,999","4.71,70,593 Ratings & 9,291 Reviews"
22,"APPLE iPhone 13 (Pink, 512 GB)","₹83,999","4.71,70,593 Ratings & 9,291 Reviews"
23,"APPLE iPhone 14 (Starlight, 128 GB)","₹78,740",4.6756 Ratings & 55 Reviews
